Symbol,Cancer Gene Census,Name,Cytoband,Type,# Affected Cases in Cohort,# Affected Cases Across the GDC,# Mutations,Annotations,Survival
LOXHD1,,lipoxygenase homology domains 1,18q21.1,protein_coding,62 / 537 (11.55%),"228 / 10,202",92,,add to survival plot
POU3F2,,POU class 3 homeobox 2,6q16.1,protein_coding,62 / 537 (11.55%),"220 / 10,202",53,,add to survival plot
TNS1,,tensin 1,2q35,protein_coding,62 / 537 (11.55%),"385 / 10,202",76,,add to survival plot
DYNC1H1,,"dynein, cytoplasmic 1, heavy chain 1",14q32.31,protein_coding,62 / 537 (11.55%),"613 / 10,202",95,,add to survival plot
CACNA1H,,"calcium channel, voltage-dependent, T type, alpha 1H subunit",16p13.3,protein_coding,62 / 537 (11.55%),"455 / 10,202",77,,add to survival plot
SCN1A,,"sodium channel, voltage gated, type I alpha subunit",2q24.3,protein_coding,62 / 537 (11.55%),"641 / 10,202",85,,add to survival plot
EP400,,E1A binding protein p400,12q24.33,protein_coding,62 / 537 (11.55%),"541 / 10,202",91,,add to survival plot
VWF,,von Willebrand factor,12p13.31,protein_coding,62 / 537 (11.55%),"577 / 10,202",89,,add to survival plot
SVEP1,,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",9q31.3,protein_coding,62 / 537 (11.55%),"663 / 10,202",93,,add to survival plot
CHD7,,chromodomain helicase DNA binding protein 7,8q12.2,protein_coding,62 / 537 (11.55%),"589 / 10,202",83,,add to survival plot
DCHS1,,dachsous cadherin-related 1,11p15.4,protein_coding,62 / 537 (11.55%),"521 / 10,202",86,,add to survival plot
TENM2,,teneurin transmembrane protein 2,5q34,protein_coding,62 / 537 (11.55%),"605 / 10,202",85,,add to survival plot
CDH9,,"cadherin 9, type 2 (T1-cadherin)",5p14.1,protein_coding,61 / 537 (11.36%),"596 / 10,202",82,,add to survival plot
PCDHA12,,protocadherin alpha 12,5q31.3,protein_coding,61 / 537 (11.36%),"434 / 10,202",73,,add to survival plot
PCDHA11,,protocadherin alpha 11,5q31.3,protein_coding,61 / 537 (11.36%),"403 / 10,202",68,,add to survival plot
ADAMTS16,,"ADAM metallopeptidase with thrombospondin type 1 motif, 16",5p15.32,protein_coding,61 / 537 (11.36%),"529 / 10,202",83,,add to survival plot
DCLK1,,doublecortin-like kinase 1,13q13.3,protein_coding,61 / 537 (11.36%),"347 / 10,202",71,,add to survival plot
CARD11,,"caspase recruitment domain family, member 11",7p22.2,protein_coding,61 / 537 (11.36%),"442 / 10,202",62,Cancer Gene Census,add to survival plot
SLC5A3,,"solute carrier family 5 (sodium/myo-inositol cotransporter), member 3",21q22.11,protein_coding,61 / 537 (11.36%),"272 / 10,202",82,,add to survival plot
PCDHB8,,protocadherin beta 8,5q31.3,protein_coding,61 / 537 (11.36%),"487 / 10,202",63,,add to survival plot
RAG1,,recombination activating gene 1,11p12,protein_coding,61 / 537 (11.36%),"381 / 10,202",66,,add to survival plot
ADGRL3,,adhesion G protein-coupled receptor L3,4q13.1,protein_coding,61 / 537 (11.36%),"588 / 10,202",83,,add to survival plot
CNTNAP2,,contactin associated protein-like 2,"7q35, 7q36.1",protein_coding,61 / 537 (11.36%),"707 / 10,202",82,,add to survival plot
CACNA1A,,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",19p13.13,protein_coding,61 / 537 (11.36%),"528 / 10,202",90,,add to survival plot
ASPM,,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",1q31.3,protein_coding,61 / 537 (11.36%),"622 / 10,202",97,,add to survival plot
COL6A5,,"collagen, type VI, alpha 5",3q22.1,protein_coding,60 / 537 (11.17%),"413 / 10,202",91,,add to survival plot
KCNA1,,"potassium channel, voltage gated shaker related subfamily A, member 1",12p13.32,protein_coding,60 / 537 (11.17%),"352 / 10,202",100,,add to survival plot
GRIK2,,"glutamate receptor, ionotropic, kainate 2",6q16.3,protein_coding,60 / 537 (11.17%),"424 / 10,202",77,,add to survival plot
LAMA2,,"laminin, alpha 2",6q22.33,protein_coding,60 / 537 (11.17%),"695 / 10,202",109,,add to survival plot
MEGF8,,multiple EGF-like-domains 8,19q13.2,protein_coding,60 / 537 (11.17%),"458 / 10,202",83,,add to survival plot
SLITRK2,,"SLIT and NTRK-like family, member 2",Xq27.3,protein_coding,60 / 537 (11.17%),"414 / 10,202",67,,add to survival plot
FBN1,,fibrillin 1,15q21.1,protein_coding,60 / 537 (11.17%),"554 / 10,202",98,,add to survival plot
RP1L1,,retinitis pigmentosa 1-like 1,8p23.1,protein_coding,60 / 537 (11.17%),"646 / 10,202",75,,add to survival plot
SETD1B,,SET domain containing 1B,12q24.31,protein_coding,60 / 537 (11.17%),"215 / 10,202",53,,add to survival plot
CNTN6,,contactin 6,3p26.3,protein_coding,60 / 537 (11.17%),"457 / 10,202",73,,add to survival plot
MYO18B,,myosin XVIIIB,22q12.1,protein_coding,60 / 537 (11.17%),"675 / 10,202",82,,add to survival plot
MYO16,,myosin XVI,13q33.3,protein_coding,60 / 537 (11.17%),"538 / 10,202",73,,add to survival plot
COL27A1,,"collagen, type XXVII, alpha 1",9q32,protein_coding,59 / 537 (10.99%),"360 / 10,202",83,,add to survival plot
ABCA12,,"ATP-binding cassette, sub-family A (ABC1), member 12",2q35,protein_coding,59 / 537 (10.99%),"596 / 10,202",96,,add to survival plot
PCDHB3,,protocadherin beta 3,5q31.3,protein_coding,59 / 537 (10.99%),"459 / 10,202",62,,add to survival plot
DNAH14,,"dynein, axonemal, heavy chain 14",1q42.12,protein_coding,59 / 537 (10.99%),"327 / 10,202",111,,add to survival plot
CACNA1B,,"calcium channel, voltage-dependent, N type, alpha 1B subunit",9q34.3,protein_coding,59 / 537 (10.99%),"523 / 10,202",75,,add to survival plot
IGHG1,,immunoglobulin heavy constant gamma 1 (G1m marker),14q32.33,IG_C_gene,59 / 537 (10.99%),"697 / 10,202",71,,add to survival plot
AKAP13,,A kinase (PRKA) anchor protein 13,15q25.3,protein_coding,59 / 537 (10.99%),"475 / 10,202",69,,add to survival plot
NIPBL,,Nipped-B homolog (Drosophila),5p13.2,protein_coding,59 / 537 (10.99%),"548 / 10,202",72,,add to survival plot
SORCS1,,sortilin-related VPS10 domain containing receptor 1,10q25.1,protein_coding,59 / 537 (10.99%),"576 / 10,202",73,,add to survival plot
SFMBT2,,Scm-like with four mbt domains 2,10p14,protein_coding,59 / 537 (10.99%),"335 / 10,202",75,,add to survival plot
COL7A1,,"collagen, type VII, alpha 1",3p21.31,protein_coding,59 / 537 (10.99%),"562 / 10,202",80,,add to survival plot
WDR33,,WD repeat domain 33,2q14.3,protein_coding,58 / 537 (10.80%),"373 / 10,202",65,,add to survival plot
RUNX1T1,,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)",8q21.3,protein_coding,58 / 537 (10.80%),"528 / 10,202",65,Cancer Gene Census,add to survival plot
CRB1,,"crumbs family member 1, photoreceptor morphogenesis associated",1q31.3,protein_coding,58 / 537 (10.80%),"634 / 10,202",72,,add to survival plot
CDH10,,"cadherin 10, type 2 (T2-cadherin)","5p14.2, 5p14.1",protein_coding,58 / 537 (10.80%),"649 / 10,202",82,,add to survival plot
GRIK3,,"glutamate receptor, ionotropic, kainate 3",1p34.3,protein_coding,58 / 537 (10.80%),"385 / 10,202",61,,add to survival plot
KALRN,,"kalirin, RhoGEF kinase","3q21.1, 3q21.2",protein_coding,58 / 537 (10.80%),"617 / 10,202",73,,add to survival plot
CDH11,,"cadherin 11, type 2, OB-cadherin (osteoblast)",16q21,protein_coding,58 / 537 (10.80%),"464 / 10,202",68,Cancer Gene Census,add to survival plot
HDAC9,,histone deacetylase 9,7p21.1,protein_coding,58 / 537 (10.80%),"468 / 10,202",74,,add to survival plot
RIMBP2,,RIMS binding protein 2,12q24.33,protein_coding,58 / 537 (10.80%),"491 / 10,202",63,,add to survival plot
ZBTB43,,zinc finger and BTB domain containing 43,9q33.3,protein_coding,58 / 537 (10.80%),"279 / 10,202",48,,add to survival plot
TRIM13,,tripartite motif containing 13,13q14.2,protein_coding,57 / 537 (10.61%),"221 / 10,202",62,,add to survival plot
PTPRS,,"protein tyrosine phosphatase, receptor type, S",19p13.3,protein_coding,57 / 537 (10.61%),"354 / 10,202",68,,add to survival plot
KCNJ2,,"potassium channel, inwardly rectifying subfamily J, member 2",17q24.3,protein_coding,57 / 537 (10.61%),"291 / 10,202",59,,add to survival plot
F8,,"coagulation factor VIII, procoagulant component",Xq28,protein_coding,57 / 537 (10.61%),"530 / 10,202",79,,add to survival plot
IGF2R,,insulin-like growth factor 2 receptor,6q25.3,protein_coding,57 / 537 (10.61%),"463 / 10,202",80,,add to survival plot
ADGRG4,,adhesion G protein-coupled receptor G4,Xq26.3,protein_coding,57 / 537 (10.61%),"734 / 10,202",80,,add to survival plot
DIDO1,,death inducer-obliterator 1,20q13.33,protein_coding,57 / 537 (10.61%),"561 / 10,202",80,,add to survival plot
NCKAP5,,NCK-associated protein 5,2q21.2,protein_coding,57 / 537 (10.61%),"552 / 10,202",80,,add to survival plot
DSEL,,dermatan sulfate epimerase-like,18q22.1,protein_coding,57 / 537 (10.61%),"372 / 10,202",86,,add to survival plot
DOCK3,,dedicator of cytokinesis 3,3p21.2,protein_coding,57 / 537 (10.61%),"506 / 10,202",64,,add to survival plot
TEX15,,testis expressed 15,8p12,protein_coding,57 / 537 (10.61%),"529 / 10,202",109,,add to survival plot
ADGB,,androglobin,6q24.3,protein_coding,57 / 537 (10.61%),"267 / 10,202",78,,add to survival plot
AKAP6,,A kinase (PRKA) anchor protein 6,14q12,protein_coding,57 / 537 (10.61%),"548 / 10,202",87,,add to survival plot
TRPM3,,"transient receptor potential cation channel, subfamily M, member 3","9q21.12, 9q21.13",protein_coding,57 / 537 (10.61%),"488 / 10,202",83,,add to survival plot
SRCAP,,Snf2-related CREBBP activator protein,16p11.2,protein_coding,57 / 537 (10.61%),"578 / 10,202",75,,add to survival plot
PCDHA2,,protocadherin alpha 2,5q31.3,protein_coding,57 / 537 (10.61%),"449 / 10,202",67,,add to survival plot
ADAMTS2,,"ADAM metallopeptidase with thrombospondin type 1 motif, 2",5q35.3,protein_coding,57 / 537 (10.61%),"385 / 10,202",63,,add to survival plot
RNF43,,ring finger protein 43,17q22,protein_coding,57 / 537 (10.61%),"327 / 10,202",50,Cancer Gene Census,add to survival plot
ELFN1,,extracellular leucine-rich repeat and fibronectin type III domain containing 1,7p22.3,protein_coding,57 / 537 (10.61%),"147 / 10,202",53,,add to survival plot
CDH4,,"cadherin 4, type 1, R-cadherin (retinal)",20q13.33,protein_coding,57 / 537 (10.61%),"386 / 10,202",61,,add to survival plot
KIF26B,,kinesin family member 26B,1q44,protein_coding,57 / 537 (10.61%),"465 / 10,202",78,,add to survival plot
NCOR2,,nuclear receptor corepressor 2,12q24.31,protein_coding,57 / 537 (10.61%),"457 / 10,202",76,Cancer Gene Census,add to survival plot
FRYL,,FRY-like,4p11,protein_coding,57 / 537 (10.61%),"439 / 10,202",77,,add to survival plot
MUM1L1,,melanoma associated antigen (mutated) 1-like 1,Xq22.3,protein_coding,56 / 537 (10.43%),"292 / 10,202",46,,add to survival plot
ABCA1,,"ATP-binding cassette, sub-family A (ABC1), member 1",9q31.1,protein_coding,56 / 537 (10.43%),"396 / 10,202",76,,add to survival plot
EPHA5,,EPH receptor A5,"4q13.1, 4q13.2",protein_coding,56 / 537 (10.43%),"494 / 10,202",65,,add to survival plot
HUWE1,,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",Xp11.22,protein_coding,56 / 537 (10.43%),"726 / 10,202",74,,add to survival plot
THBS2,,thrombospondin 2,6q27,protein_coding,56 / 537 (10.43%),"391 / 10,202",72,,add to survival plot
ZNF292,,zinc finger protein 292,6q14.3,protein_coding,56 / 537 (10.43%),"454 / 10,202",88,,add to survival plot
BNC2,,basonuclin 2,"9p22.3, 9p22.2",protein_coding,56 / 537 (10.43%),"394 / 10,202",67,,add to survival plot
THSD7B,,"thrombospondin, type I, domain containing 7B",2q22.1,protein_coding,56 / 537 (10.43%),"676 / 10,202",69,,add to survival plot
DAPK1,,death-associated protein kinase 1,9q21.33,protein_coding,56 / 537 (10.43%),"335 / 10,202",62,,add to survival plot
CNTN5,,contactin 5,11q22.1,protein_coding,56 / 537 (10.43%),"493 / 10,202",68,,add to survival plot
ROS1,,"ROS proto-oncogene 1 , receptor tyrosine kinase",6q22.1,protein_coding,56 / 537 (10.43%),"551 / 10,202",90,Cancer Gene Census,add to survival plot
SPN,,sialophorin,16p11.2,protein_coding,56 / 537 (10.43%),"212 / 10,202",59,,add to survival plot
MAP3K4,,mitogen-activated protein kinase kinase kinase 4,6q26,protein_coding,56 / 537 (10.43%),"348 / 10,202",48,,add to survival plot
MAP1B,,microtubule-associated protein 1B,5q13.2,protein_coding,56 / 537 (10.43%),"441 / 10,202",87,,add to survival plot
LYST,,lysosomal trafficking regulator,1q42.3,protein_coding,56 / 537 (10.43%),"602 / 10,202",91,,add to survival plot
CHD4,,chromodomain helicase DNA binding protein 4,12p13.31,protein_coding,56 / 537 (10.43%),"490 / 10,202",73,Cancer Gene Census,add to survival plot
PCDHA6,,protocadherin alpha 6,5q31.3,protein_coding,56 / 537 (10.43%),"439 / 10,202",62,,add to survival plot
ZDBF2,,"zinc finger, DBF-type containing 2",2q33.3,protein_coding,56 / 537 (10.43%),"537 / 10,202",92,,add to survival plot
CACNA1G,,"calcium channel, voltage-dependent, T type, alpha 1G subunit",17q21.33,protein_coding,56 / 537 (10.43%),"480 / 10,202",74,,add to survival plot
MGA,,"MGA, MAX dimerization protein",15q15.1,protein_coding,56 / 537 (10.43%),"539 / 10,202",76,,add to survival plot
DOCK8,,dedicator of cytokinesis 8,9p24.3,protein_coding,56 / 537 (10.43%),"400 / 10,202",73,,add to survival plot
SCN3A,,"sodium channel, voltage gated, type III alpha subunit",2q24.3,protein_coding,56 / 537 (10.43%),"566 / 10,202",84,,add to survival plot
PLXND1,,plexin D1,3q22.1,protein_coding,56 / 537 (10.43%),"358 / 10,202",68,,add to survival plot
PKD1L1,,polycystic kidney disease 1 like 1,7p12.3,protein_coding,56 / 537 (10.43%),"569 / 10,202",86,,add to survival plot
EVC2,,Ellis van Creveld syndrome 2,4p16.2,protein_coding,56 / 537 (10.43%),"343 / 10,202",67,,add to survival plot
COL18A1,,"collagen, type XVIII, alpha 1",21q22.3,protein_coding,56 / 537 (10.43%),"309 / 10,202",71,,add to survival plot
CNOT1,,"CCR4-NOT transcription complex, subunit 1",16q21,protein_coding,56 / 537 (10.43%),"443 / 10,202",81,,add to survival plot
PCDH18,,protocadherin 18,4q28.3,protein_coding,56 / 537 (10.43%),"435 / 10,202",76,,add to survival plot
BCL9L,,B-cell CLL/lymphoma 9-like,11q23.3,protein_coding,56 / 537 (10.43%),"326 / 10,202",63,,add to survival plot
RIF1,,replication timing regulatory factor 1,2q23.3,protein_coding,56 / 537 (10.43%),"397 / 10,202",70,,add to survival plot
ABCA4,,"ATP-binding cassette, sub-family A (ABC1), member 4",1p22.1,protein_coding,56 / 537 (10.43%),"480 / 10,202",79,,add to survival plot
PTPRZ1,,"protein tyrosine phosphatase, receptor-type, Z polypeptide 1",7q31.32,protein_coding,56 / 537 (10.43%),"538 / 10,202",79,,add to survival plot
PCDHGA6,,"protocadherin gamma subfamily A, 6",5q31.3,protein_coding,55 / 537 (10.24%),"333 / 10,202",58,,add to survival plot
ZXDB,,"zinc finger, X-linked, duplicated B",Xp11.21,protein_coding,55 / 537 (10.24%),"271 / 10,202",50,,add to survival plot
SALL1,,spalt-like transcription factor 1,16q12.1,protein_coding,55 / 537 (10.24%),"549 / 10,202",68,,add to survival plot
ARFGEF1,,ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited),8q13.2,protein_coding,55 / 537 (10.24%),"378 / 10,202",66,,add to survival plot
DMXL2,,Dmx-like 2,15q21.2,protein_coding,55 / 537 (10.24%),"476 / 10,202",81,,add to survival plot
PLXNA4,,plexin A4,7q32.3,protein_coding,55 / 537 (10.24%),"710 / 10,202",92,,add to survival plot
MLLT4,,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4",6q27,protein_coding,55 / 537 (10.24%),"439 / 10,202",73,Cancer Gene Census,add to survival plot
ZNF462,,zinc finger protein 462,9q31.2,protein_coding,55 / 537 (10.24%),"450 / 10,202",65,,add to survival plot
TNRC6B,,trinucleotide repeat containing 6B,22q13.1,protein_coding,55 / 537 (10.24%),"467 / 10,202",63,,add to survival plot
ZNF804B,,zinc finger protein 804B,7q21.13,protein_coding,55 / 537 (10.24%),"530 / 10,202",72,,add to survival plot
FLRT1,,fibronectin leucine rich transmembrane protein 1,11q13.1,protein_coding,55 / 537 (10.24%),"213 / 10,202",30,,add to survival plot
KIAA1456,,KIAA1456,8p22,protein_coding,55 / 537 (10.24%),"238 / 10,202",83,,add to survival plot
ZAN,,zonadhesin (gene/pseudogene),7q22.1,protein_coding,55 / 537 (10.24%),"659 / 10,202",75,,add to survival plot
KCNMA1,,"potassium channel, calcium activated large conductance subfamily M alpha, member 1",10q22.3,protein_coding,55 / 537 (10.24%),"391 / 10,202",67,,add to survival plot
GRIA2,,"glutamate receptor, ionotropic, AMPA 2",4q32.1,protein_coding,55 / 537 (10.24%),"438 / 10,202",71,,add to survival plot
PCDHB7,,protocadherin beta 7,5q31.3,protein_coding,55 / 537 (10.24%),"523 / 10,202",83,,add to survival plot
DNAH6,,"dynein, axonemal, heavy chain 6",2p11.2,protein_coding,55 / 537 (10.24%),"364 / 10,202",88,,add to survival plot
MKI67,,marker of proliferation Ki-67,10q26.2,protein_coding,55 / 537 (10.24%),"593 / 10,202",82,,add to survival plot
FLNA,,"filamin A, alpha",Xq28,protein_coding,55 / 537 (10.24%),"505 / 10,202",76,,add to survival plot
BCL9,,B-cell CLL/lymphoma 9,1q21.2,protein_coding,55 / 537 (10.24%),"331 / 10,202",59,Cancer Gene Census,add to survival plot
FAM110B,,"family with sequence similarity 110, member B",8q12.1,protein_coding,55 / 537 (10.24%),"219 / 10,202",55,,add to survival plot
ZNF831,,zinc finger protein 831,20q13.32,protein_coding,55 / 537 (10.24%),"631 / 10,202",65,,add to survival plot
USP34,,ubiquitin specific peptidase 34,2p15,protein_coding,55 / 537 (10.24%),"498 / 10,202",81,,add to survival plot
COL4A1,,"collagen, type IV, alpha 1",13q34,protein_coding,54 / 537 (10.06%),"430 / 10,202",62,,add to survival plot
MYO15A,,myosin XVA,17p11.2,protein_coding,54 / 537 (10.06%),"593 / 10,202",82,,add to survival plot
CHD6,,chromodomain helicase DNA binding protein 6,20q12,protein_coding,54 / 537 (10.06%),"546 / 10,202",75,,add to survival plot
SCN7A,,"sodium channel, voltage gated, type VII alpha subunit",2q24.3,protein_coding,54 / 537 (10.06%),"453 / 10,202",78,,add to survival plot
FAM135B,,"family with sequence similarity 135, member B",8q24.23,protein_coding,54 / 537 (10.06%),"839 / 10,202",77,,add to survival plot
ADAMTS20,,"ADAM metallopeptidase with thrombospondin type 1 motif, 20",12q12,protein_coding,54 / 537 (10.06%),"550 / 10,202",75,,add to survival plot
DCC,,DCC netrin 1 receptor,18q21.2,protein_coding,54 / 537 (10.06%),"657 / 10,202",80,,add to survival plot
TET1,,tet methylcytosine dioxygenase 1,10q21.3,protein_coding,54 / 537 (10.06%),"457 / 10,202",71,Cancer Gene Census,add to survival plot
SHANK1,,SH3 and multiple ankyrin repeat domains 1,19q13.33,protein_coding,54 / 537 (10.06%),"414 / 10,202",73,,add to survival plot
RAP2B,,"RAP2B, member of RAS oncogene family",3q25.2,protein_coding,54 / 537 (10.06%),"223 / 10,202",54,,add to survival plot
STAB2,,stabilin 2,12q23.3,protein_coding,54 / 537 (10.06%),"625 / 10,202",73,,add to survival plot
